"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\aboutme.html", "HTML", 78, 0, 0, 0, 7, 85
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\bldcubes.html", "HTML", 105, 0, 0, 0, 10, 115
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\corners.html", "HTML", 1127, 0, 0, 1, 23, 1151
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\cubes.css", "CSS", 0, 0, 97, 0, 13, 110
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\footer.css", "CSS", 0, 0, 73, 0, 10, 83
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\global.css", "CSS", 0, 0, 118, 0, 10, 128
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\help.css", "CSS", 0, 0, 59, 0, 6, 65
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\login.css", "CSS", 0, 0, 84, 0, 12, 96
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\main-footer.css", "CSS", 0, 0, 14, 0, 2, 16
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\maingrid.css", "CSS", 0, 0, 86, 0, 10, 96
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\presets.css", "CSS", 0, 0, 87, 0, 11, 98
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\resources.css", "CSS", 0, 0, 33, 0, 5, 38
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\sets.css", "CSS", 0, 0, 135, 0, 16, 151
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\settings.css", "CSS", 0, 0, 303, 3, 43, 349
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\terms.css", "CSS", 0, 0, 17, 0, 2, 19
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\tops-main.css", "CSS", 0, 0, 90, 0, 14, 104
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\tops-pt.css", "CSS", 0, 0, 233, 0, 35, 268
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\tops-side.css", "CSS", 0, 0, 38, 0, 5, 43
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\training.css", "CSS", 0, 0, 288, 3, 50, 341
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\edges.html", "HTML", 1201, 0, 0, 2, 23, 1226
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\flips.html", "HTML", 438, 0, 0, 1, 17, 456
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\help.html", "HTML", 126, 0, 0, 0, 7, 133
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\index.html", "HTML", 198, 0, 0, 0, 12, 210
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\ltct.html", "HTML", 741, 0, 0, 1, 16, 758
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\midges.html", "HTML", 940, 0, 0, 1, 16, 957
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\parity.html", "HTML", 534, 0, 0, 2, 23, 559
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\pluscenters.html", "HTML", 1071, 0, 0, 1, 19, 1091
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\privacy.html", "HTML", 76, 0, 0, 0, 7, 83
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\resources.html", "HTML", 120, 0, 0, 0, 8, 128
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\script.js", "JavaScript", 0, 1689, 0, 148, 170, 2007
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\terms.html", "HTML", 75, 0, 0, 0, 9, 84
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\twists.html", "HTML", 389, 0, 0, 1, 18, 408
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\wings.html", "HTML", 1017, 0, 0, 1, 16, 1034
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\words.html", "HTML", 1070, 0, 0, 1, 16, 1087
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\xcenters.html", "HTML", 1071, 0, 0, 1, 19, 1091
"Total", "-", 10377, 1689, 1755, 167, 680, 14668
